artist_id,artist_name,genre
A0001,Artist 0001,metal
A0002,Artist 0002,latin
A0003,Artist 0003,country
A0004,Artist 0004,jazz
A0005,Artist 0005,latin
A0006,Artist 0006,latin
A0007,Artist 0007,latin
A0008,Artist 0008,pop
A0009,Artist 0009,reggaeton
A0010,Artist 0010,classical
A0011,Artist 0011,hip_hop
A0012,Artist 0012,electronic
A0013,Artist 0013,classical
A0014,Artist 0014,r_and_b
A0015,Artist 0015,jazz
A0016,Artist 0016,indie_rock
A0017,Artist 0017,metal
A0018,Artist 0018,country
A0019,Artist 0019,indie_rock
A0020,Artist 0020,jazz
A0021,Artist 0021,electronic
A0022,Artist 0022,country
A0023,Artist 0023,pop
A0024,Artist 0024,reggaeton
A0025,Artist 0025,country
A0026,Artist 0026,reggaeton
A0027,Artist 0027,rock
A0028,Artist 0028,r_and_b
A0029,Artist 0029,latin
A0030,Artist 0030,latin
A0031,Artist 0031,latin
A0032,Artist 0032,electronic
A0033,Artist 0033,metal
A0034,Artist 0034,latin
A0035,Artist 0035,jazz
A0036,Artist 0036,latin
A0037,Artist 0037,classical
A0038,Artist 0038,indie_rock
A0039,Artist 0039,reggaeton
A0040,Artist 0040,classical
A0041,Artist 0041,hip_hop
A0042,Artist 0042,metal
A0043,Artist 0043,electronic
A0044,Artist 0044,latin
A0045,Artist 0045,indie_rock
A0046,Artist 0046,classical
A0047,Artist 0047,rock
A0048,Artist 0048,rock
A0049,Artist 0049,jazz
A0050,Artist 0050,reggaeton
A0051,Artist 0051,reggaeton
A0052,Artist 0052,reggaeton
A0053,Artist 0053,country
A0054,Artist 0054,jazz
A0055,Artist 0055,electronic
A0056,Artist 0056,latin
A0057,Artist 0057,country
A0058,Artist 0058,electronic
A0059,Artist 0059,indie_rock
A0060,Artist 0060,indie_rock
A0061,Artist 0061,rock
A0062,Artist 0062,jazz
A0063,Artist 0063,jazz
A0064,Artist 0064,classical
A0065,Artist 0065,country
A0066,Artist 0066,latin
A0067,Artist 0067,jazz
A0068,Artist 0068,jazz
A0069,Artist 0069,pop
A0070,Artist 0070,hip_hop
A0071,Artist 0071,latin
A0072,Artist 0072,latin
A0073,Artist 0073,pop
A0074,Artist 0074,reggaeton
A0075,Artist 0075,reggaeton
A0076,Artist 0076,metal
A0077,Artist 0077,rock
A0078,Artist 0078,reggaeton
A0079,Artist 0079,electronic
A0080,Artist 0080,indie_rock
A0081,Artist 0081,r_and_b
A0082,Artist 0082,metal
A0083,Artist 0083,indie_rock
A0084,Artist 0084,r_and_b
A0085,Artist 0085,jazz
A0086,Artist 0086,indie_rock
A0087,Artist 0087,classical
A0088,Artist 0088,reggaeton
A0089,Artist 0089,reggaeton
A0090,Artist 0090,electronic
A0091,Artist 0091,latin
A0092,Artist 0092,indie_rock
A0093,Artist 0093,latin
A0094,Artist 0094,indie_rock
A0095,Artist 0095,r_and_b
A0096,Artist 0096,latin
A0097,Artist 0097,rock
A0098,Artist 0098,country
A0099,Artist 0099,pop
A0100,Artist 0100,electronic
A0101,Artist 0101,jazz
A0102,Artist 0102,metal
A0103,Artist 0103,indie_rock
A0104,Artist 0104,pop
A0105,Artist 0105,hip_hop
A0106,Artist 0106,country
A0107,Artist 0107,hip_hop
