song_id,song_name,artist_id,genre,duration_ms
S00001,Song 00001,A0133,metal,217361
S00002,Song 00002,A0325,metal,175562
S00003,Song 00003,A0299,pop,264068
S00004,Song 00004,A0283,latin,270513
S00005,Song 00005,A0295,hip_hop,201633
S00006,Song 00006,A0330,hip_hop,293665
S00007,Song 00007,A0107,hip_hop,205154
S00008,Song 00008,A0090,electronic,307772
S00009,Song 00009,A0141,hip_hop,192665
S00010,Song 00010,A0365,classical,189228
S00011,Song 00011,A0323,hip_hop,121684
S00012,Song 00012,A0202,rock,152198
S00013,Song 00013,A0308,electronic,192568
S00014,Song 00014,A0367,pop,80771
S00015,Song 00015,A0062,jazz,215951
S00016,Song 00016,A0280,latin,272473
S00017,Song 00017,A0090,electronic,252105
S00018,Song 00018,A0294,metal,229904
S00019,Song 00019,A0036,latin,260685
S00020,Song 00020,A0381,r_and_b,180675
S00021,Song 00021,A0314,latin,186446
S00022,Song 00022,A0043,electronic,271280
S00023,Song 00023,A0341,metal,208503
S00024,Song 00024,A0349,hip_hop,281336
S00025,Song 00025,A0065,country,186549
S00026,Song 00026,A0117,rock,261279
S00027,Song 00027,A0062,jazz,297645
S00028,Song 00028,A0329,reggaeton,212030
S00029,Song 00029,A0044,latin,327295
S00030,Song 00030,A0090,electronic,318498
S00031,Song 00031,A0023,pop,61074
S00032,Song 00032,A0188,rock,389149
S00033,Song 00033,A0028,r_and_b,113243
S00034,Song 00034,A0056,latin,377021
S00035,Song 00035,A0141,hip_hop,159841
S00036,Song 00036,A0323,hip_hop,80832
S00037,Song 00037,A0276,r_and_b,129868
S00038,Song 00038,A0118,latin,247362
S00039,Song 00039,A0220,hip_hop,151631
S00040,Song 00040,A0190,metal,180573
S00041,Song 00041,A0143,latin,295884
S00042,Song 00042,A0319,latin,151983
S00043,Song 00043,A0304,latin,249336
S00044,Song 00044,A0149,electronic,299820
S00045,Song 00045,A0188,rock,97170
S00046,Song 00046,A0355,rock,141262
S00047,Song 00047,A0101,jazz,231462
S00048,Song 00048,A0205,jazz,217044
